,Pos,Driver,USW,BRA,ARG,SMR,BEL,MON,ESP,FRA,GBR,GER,AUT,NED,ITA,CAN,CPL,Points
0,1,Nelson Piquet,3,12,1,1,Ret,Ret,Ret,3,Ret,1,3,2,6,5,5,50
1,2,Carlos Reutemann,2,1,2,3,1,Ret,4,10,2,Ret,5,Ret,3,10,8,49
2,3,Alan Jones,1,2,4,12,Ret,2,7,17,Ret,11,4,3,2,Ret,1,46
3,4,Jacques Laffite,Ret,6,Ret,Ret,2,3,2,Ret,3,3,1,Ret,Ret,1,6,44
4,5,Alain Prost,Ret,Ret,3,Ret,Ret,Ret,Ret,1,Ret,2,Ret,1,1,Ret,2,43
5,6,John Watson,Ret,8,Ret,10,7,Ret,3,2,1,6,6,Ret,Ret,2,7,27
6,7,Gilles Villeneuve,Ret,Ret,Ret,7,4,1,1,Ret,Ret,10,Ret,Ret,Ret,3,DSQ,25
7,8,Elio de Angelis,Ret,5,6,WD,5,Ret,5,6,DSQ,7,7,5,4,6,Ret,14
8,9,René Arnoux,8,Ret,5,8,DNQ,Ret,9,4,9,13,2,Ret,Ret,Ret,Ret,11
9,10,Héctor Rebaque,Ret,Ret,Ret,4,Ret,DNQ,Ret,9,5,4,Ret,4,Ret,Ret,Ret,11
