,Pos,Driver,BRA,SMR,MON,MEX,CAN,DET,FRA,GBR,GER,HUN,BEL,ITA,POR,ESP,JPN,AUS,Points[a]
0,1,Ayrton Senna,DSQP,1P,RetPF,2P,1PF,1P,2,1,1P,1P,1P,10P†,(6),(4)P,1PF,2P,90 (94)*
1,2,Alain Prost,1,2F,1,1F,2,2F,1PF,Ret,2,(2)F,(2),Ret,1P,1F,(2),1F,87 (105)*
2,3,Gerhard Berger,2F,5,2,3,Ret,Ret,4,9P,3,4,RetF,1,RetF,6,4,Ret,41
3,4,Thierry Boutsen,7,4,8,8,3,3,Ret,Ret,6,3,DSQ,6,3,9,3,5,27
4,5,Michele Alboreto,5,18†,3,4,Ret,Ret,3,17†,4,Ret,Ret,2F,5,Ret,11,Ret,24
5,6,Nelson Piquet,3,3,Ret,Ret,4,Ret,5,5,Ret,8,4,Ret,Ret,8,Ret,3,22
6,7,Ivan Capelli,Ret,Ret,10,16,5,DNS,9,Ret,5,Ret,3,5,2,Ret,Ret,6,17
7,8,Derek Warwick,4,9,4,5,7,Ret,Ret,6,7,Ret,5,4,4,Ret,Ret,Ret,17
8,9,Nigel Mansell,Ret,Ret,Ret,Ret,Ret,Ret,Ret,2F,Ret,Ret,-,-,Ret,2,Ret,Ret,12
9,10,Alessandro Nannini,Ret,6,Ret,7,Ret,Ret,6,3,18F,Ret,DSQ,9,Ret,3,5,Ret,12
