,Pos.,Driver,USA,BRA,SMR,MON,CAN,MEX,FRA,GBR,GER,HUN,BEL,ITA,POR,ESP,JPN,AUS,Points[a]
0,1,Ayrton Senna,1,3P,RetP,1PF,1P,20†,3,3,1P,2,1P,1PF,2,RetP,RetP,RetP,78
1,2,Alain Prost,Ret,1,4,Ret,(5),1F,1,1,4,Ret,2F,2,3,1,Ret,3,71 (73)
2,3,Nelson Piquet,4,(6),5,DSQ,2,6,4,5,Ret,3,5,7,5,Ret,1,1,43 (44)
3,4,Gerhard Berger,RetPF,2F,2,3,4F,3P,5,14†,3,16†,3,3,4,Ret,Ret,4,43
4,5,Nigel Mansell,Ret,4,Ret,Ret,3,2,18PF†,RetPF,Ret,17†,Ret,4,1P,2,Ret,2F,37
5,6,Thierry Boutsen,3,5,Ret,4,Ret,5,Ret,2,6F,1P,Ret,Ret,Ret,4,5,5,34
6,7,Riccardo Patrese,9,13†,1,Ret,Ret,9,6,Ret,5,4F,Ret,5,7F,5F,4F,6,23
7,8,Alessandro Nannini,11,10†,3F,Ret,Ret,4,16†,Ret,2,Ret,4,8,6,3,-,-,21
8,9,Jean Alesi,2,7,6,2,Ret,7,Ret,8,11†,Ret,8,Ret,8,Ret,DNS,8,13
9,10[b],Ivan Capelli,Ret,DNQ,Ret,Ret,10,DNQ,2,Ret,7,Ret,7,Ret,Ret,Ret,Ret,Ret,6
