,Pos.,Driver,AUS,MAL,BHR,SMR,ESP,MON,EUR,CAN,USA‡,FRA,GBR,GER,HUN,TUR,ITA,BEL,BRA,JPN,CHN,Points
0,1,Fernando Alonso,3F,1P,1P,1,2,4,1F,Ret,DNS,1P,2P,1,11,2,2,2,3P,3,1P,133
1,2,Kimi Räikkönen,8,9F,3,RetP,1P,1P,11†,1F,DNS,2F,3F,RetPF,1F,1P,4F,1,2F,1F,2F,112
2,3,Michael Schumacher,Ret,7,Ret,2F,Ret,7F,5,2,1F,3,6,5,2P,Ret,10,Ret,4,7,Ret,62
3,4,Juan Pablo Montoya,6,4,-,-,7,5,7,DSQ,DNS,Ret,1,2,Ret,3F,1P,14P†,1,Ret,Ret,60
4,5,Giancarlo Fisichella,1P,Ret,Ret,Ret,5F,12,6,Ret,DNS,6,4,4,9,4,3,Ret,5,2,4,58
5,6,Ralf Schumacher,12,5,4,9,4,6,Ret,6,WD,7,8,6,3,12,6,7F,8,8P,3,45
6,7,Jarno Trulli,9,2,2,5,3,10,8,Ret,DNSP,5,9,14†,4,6,5,Ret,13†,Ret,15,43
7,8,Rubens Barrichello,2,Ret,9,Ret,9,8,3,3,2,9,7,10,10,10,12,5,6,11,12,38
8,9,Jenson Button,11†,Ret,Ret,DSQ,-,-,10,RetP,DNS,4,5,3,5,5,8,3,7,5,8,37
9,10,Mark Webber,5,Ret,6,7,6,3,Ret,5,DNS,12,11,NC,7,Ret,14,4,NC,4,7,36
