,Pos.,Driver,BHR,MAL,AUS,SMR,EUR,ESP,MON,GBR,CAN,USA,FRA,GER,HUN,TUR,ITA,CHN,JPN,BRA,Points
0,1,Fernando Alonso,1,2F,1,2F,2P,1P,1P,1PF,1P,5,2,5,Ret,2,Ret,2PF,1F,2,134
1,2,Michael Schumacher,2P,6,Ret,1P,1F,2,5F,2,2,1PF,1PF,1F,8†,3F,1,1,Ret,4F,121
2,3,Felipe Massa,9,5,Ret,4,3,4F,9,5,5,2,3,2,7F,1P,9,Ret,2P,1P,80
3,4,Giancarlo Fisichella,Ret,1P,5,8,6,3,6,4,4,3,6,6,Ret,6,4,3,3,6,72
4,5,Kimi Räikkönen,3,Ret,2F,5,4,5,Ret,3,3F,Ret,5,3P,RetP,Ret,2PF,Ret,5,5,65
5,6,Jenson Button,4,3,10P†,7,Ret,6,11,Ret,9,Ret,Ret,4,1,4,5,4,4,3,56
6,7,Rubens Barrichello,15,10,7,10,5,7,4,10,Ret,6,Ret,Ret,4,8,6,6,12,7,30
7,8,Juan Pablo Montoya,5,4,Ret,3,Ret,Ret,2,6,Ret,Ret,-,-,-,-,-,-,-,-,26
8,9,Nick Heidfeld,12,Ret,4,13,10,8,7,7,7,Ret,8,Ret,3,14,8,7,8,17†,23
9,10,Ralf Schumacher,14,8,3,9,Ret,Ret,8,Ret,Ret,Ret,4,9,6,7,15,Ret,7,Ret,20
