,Pos.,Driver,AUS,MAL,BHR,ESP,MON,CAN,USA,FRA,GBR,EUR,HUN,TUR,ITA,BEL,JPN,CHN,BRA,Points
0,1,Kimi Räikkönen,1PF,3,3,Ret,8,5,4F,1,1F,RetP,2F,2F,3,1P,3,1,1F,110
1,2,Lewis Hamilton,3,2F,2,2,2,1P,1P,3,3P,9,1P,5,2,4,1PF,RetP,7,109
2,3,Fernando Alonso,2,1,5,3,1PF,7F,2,7,2,1,4,3,1PF,3,Ret,2,3,109
3,4,Felipe Massa,6,5P,1PF,1PF,3,DSQ,3,2PF,5,2F,13,1P,Ret,2F,6,3F,2P,94
4,5,Nick Heidfeld,4,4,4,Ret,6,2,Ret,5,6,6,3,4,4,5,14†,7,6,61
5,6,Robert Kubica,Ret,18,6,4,5,Ret,-,4,4,7,5,8,5,9,7,Ret,5,39
6,7,Heikki Kovalainen,10,8,9,7,13†,4,5,15,7,8,8,6,7,8,2,9,Ret,30
7,8,Giancarlo Fisichella,5,6,8,9,4,DSQ,9,6,8,10,12,9,12,Ret,5,11,Ret,21
8,9,Nico Rosberg,7,Ret,10,6,12,10,16†,9,12,Ret,7,7,6,6,Ret,16,4,20
9,10,David Coulthard,Ret,Ret,Ret,5,14,Ret,Ret,13,11,5,11,10,Ret,Ret,4,8,9,14
