,Pos.,Driver,AUS,MAL,BHR,ESP,TUR,MON,CAN,FRA,GBR,GER,HUN,EUR,BEL,ITA,SIN,JPN,CHN,BRA,Points
0,1,Lewis Hamilton,1P,5,13,3,2,1,RetP,10,1,1P,5P,2,3P,7,3,12P,1PF,5,98
1,2,Felipe Massa,Ret,RetP,1,2,1P,3P,5,1,13,3,17†,1PF,1,6,13P,7F,2,1PF,97
2,3,Kimi Räikkönen,8†,1,2,1PF,3F,9F,RetF,2PF,4F,6,3F,Ret,18F†,9F,15F†,3,3,3,75
3,4,Robert Kubica,Ret,2,3P,4,4,2,1,5,Ret,7,8,3,6,3,11,2,6,11,75
4,5,Fernando Alonso,4,8,10,Ret,6,10,Ret,8,6,11,4,Ret,4,4,1,1,4,2,61
5,6,Nick Heidfeld,2,6F,4,9,5,14,2,13,2,4F,10,9,2,5,6,9,5,10,60
6,7,Heikki Kovalainen,5F,3,5F,Ret,12,8,9,4,5P,5,1,4,10†,2,10,Ret,Ret,7,53
7,8,Sebastian Vettel,Ret,Ret,Ret,Ret,17,5,8,12,Ret,8,Ret,6,5,1P,5,6,9,4,35
8,9,Jarno Trulli,Ret,4,6,8,10,13,6,3,7,9,7,5,16,13,Ret,5,Ret,8,31
9,10,Timo Glock,Ret,Ret,9,11,13,12,4,11,12,Ret,2,7,9,11,4,Ret,7,6,25
