,Pos.,Driver,BHR,AUS,MAL,CHN,ESP,MON,TUR,CAN,EUR,GBR,GER,HUN,BEL,ITA,SIN,JPN,KOR,BRA,ABU,Points
0,1,Sebastian Vettel,4P,RetP,1,6P,3,2F,Ret,4,1P,7P,3PF,3PF,15,4,2,1P,RetP,1,1P,256
1,2,Fernando Alonso,1F,4,13†,4,2,6,8,3,8,14F,1,2,Ret,1PF,1PF,3,1F,3,7,252
2,3,Mark Webber,8,9F,2PF,8,1P,1P,3P,5,Ret,1,6,1,2P,6,3,2F,Ret,2,8,242
3,4,Lewis Hamilton,3,6,6,2F,14F†,5,1,1P,2,2,4,Ret,1F,Ret,Ret,5,2,4F,2F,240
4,5,Jenson Button,7,1,8,1,5,Ret,2,2,3F,4,5,8,Ret,2,4,4,12,5,3,214
5,6,Felipe Massa,2,3,7,9,6,4,7,15,11,15,2,4,4,3,8,Ret,3,15,10,144
6,7,Nico Rosberg,5,5,3,3,13,7,5,6,10,3,8,Ret,6,5,5,17†,Ret,6,4,142
7,8,Robert Kubica,11,2,4,5,8,3,6,7F,5,Ret,7,Ret,3,8,7,Ret,5,9,5,136
8,9,Michael Schumacher,6,10,Ret,10,4,12,4,11,15,9,9,11,7,9,13,6,4,7,Ret,72
9,10,Rubens Barrichello,10,8,12,12,9,Ret,14,14,4,5,12,10,Ret,10,6,9,7,14,12,47
