,Pos.,Driver,AUS,MAL,CHN,TUR,ESP,MON,CAN,EUR,GBR,GER,HUN,BEL,ITA,SIN,JPN,KOR,IND,ABU,BRA,Points
0,1,Sebastian Vettel,1P,1P,2P,1P,1,1P,2P,1PF,2,4,2P,1P,1P,1P,3P,1F,1PF,RetP,2P,392
1,2,Jenson Button,6,2,4,6,3,3,1F,6,Ret,Ret,1,3,2,2F,1F,4,2,3,3,270
2,3,Mark Webber,5,4F,3F,2F,4P,4F,3,3,3P,3P,5,2F,Ret,3,4,3,4,4F,1F,258
3,4,Fernando Alonso,4,6,7,3,5,2,Ret,2,1F,2,3,4,3,4,2,5,3,2,4,257
4,5,Lewis Hamilton,2,8,1,4,2F,6,Ret,4,4,1F,4,Ret,4F,5,5,2P,7,1,Ret,227
5,6,Felipe Massa,7F,5,6,11,Ret,Ret,6,5,5,5,6F,8,6,9,7,6,Ret,5,5,118
6,7,Nico Rosberg,Ret,12,5,5,7,11,11,7,6,7,9,6,Ret,7,10,8,6,6,7,89
7,8,Michael Schumacher,Ret,9,8,12,6,Ret,4,17,9,8,Ret,5,5,Ret,6,Ret,5,7,15,76
8,9,Adrian Sutil,9,11,15,13,13,7,Ret,9,11,6,14,7,Ret,8,11,11,9,8,6,42
9,10,Vitaly Petrov,3,17†,9,8,11,Ret,5,15,12,10,12,9,Ret,17,9,Ret,11,13,10,37
