,Pos.,Driver,AUS,MAL,CHN,BHR,ESP,MON,CAN,EUR,GBR,GER,HUN,BEL,ITA,SIN,JPN,KOR,IND,ABU,USA,BRA,Points
0,1,Sebastian Vettel,2,11,5,1PF,6,4,4PF,RetP,3,5,4F,2,22†,1,1PF,1,1P,3F,2PF,6,281
1,2,Fernando Alonso,5,1,9,7,2,3,5,1,2P,1P,5,Ret,3,3,Ret,3,2,2,3,2,278
2,3,Kimi Räikkönen,7,5F,14,2,3,9,8,2,5F,3,2,3,5,6,6,5,7,1,6,10,207
3,4,Lewis Hamilton,3P,3P,3,8,8,5,1,19†,8,Ret,1P,Ret,1P,RetP,5,10,4,RetP,1,RetPF,190
4,5,Jenson Button,1F,14,2,18†,9,16†,16,8,10,2,6,1P,Ret,2,4,Ret,5F,4,5,1,188
5,6,Mark Webber,4,4,4,4,11,1P,7,4,1,8,8,6,20†,11,9,2PF,3,Ret,Ret,4,179
6,7,Felipe Massa,Ret,15,13,9,15,6,10,16,4,12,9,5,4,8,2,4,6,7,4,3,122
7,8,Romain Grosjean,Ret,Ret,6,3,4F,Ret,2,Ret,6,18,3,Ret,-,7,19†,7,9,Ret,7,Ret,96
8,9,Nico Rosberg,12,13,1P,5,7,2,6,6F,15,10,10,11,7F,5,Ret,Ret,11,Ret,13,15,93
9,10,Sergio Pérez,8,2,11,11,Ret,11F,3,9,Ret,6,14,Ret,2,10,Ret,11,Ret,15,11,Ret,66
