,Pos.,Driver,AUS,MAL,CHN,BHR,ESP,MON,CAN,GBR,GER,HUN,BEL,ITA,SIN,KOR,JPN,IND,ABU,USA,BRA,Points
0,1,Sebastian Vettel,3P,1P,4F,1F,4,2F,1P,Ret,1,3,1F,1P,1PF,1PF,1,1P,1,1PF,1P,397
1,2,Fernando Alonso,2,Ret,1,8,1,7,2,3,4F,5,2,2,2,6,4,11,5F,5,3,242
2,3,Mark Webber,6,2,Ret,7,5,3,4F,2F,7,4F,5,3,15†,Ret,2PF,Ret,2P,3,2F,199
3,4,Lewis Hamilton,5,3,3P,5,12,4,3,4P,5P,1P,3P,9F,5,5,Ret,6,7,4,9,189
4,5,Kimi Räikkönen,1F,7,2,2,2,10,9,5,2,2,Ret,11,3,2,5,7F,Ret,-,-,183
5,6,Nico Rosberg,Ret,4,Ret,9P,6P,1P,5,1,9,19†,4,6,4,7,8,2,3,9,5,171
6,7,Romain Grosjean,10,6,9,3,Ret,Ret,13,19†,3,6,8,8,Ret,3,3,3,4,2,Ret,132
7,8,Felipe Massa,4,5,6,15,3,Ret,8,6,Ret,8,7,4,6,9,10,4,8,12,7,112
8,9,Jenson Button,9,17†,5,10,8,6,12,13,6,7,6,10,7,8,9,14,12,10,4,73
9,10,Nico Hülkenberg,DNS,8,10,12,15,11,Ret,10,10,11,13,5,9,4,6,19†,14,6,8,51
