,Pos.,Driver,AUS,BHR,CHN,AZE,ESP,MON,CAN,FRA,AUT,GBR,GER,HUN,BEL,ITA,SIN,RUS,JPN,USA,MEX,BRA,ABU,Points
0,1,Lewis Hamilton,2P,3,4,1,1P,3,5,1P,Ret,2P,1F,1P,2P,1F,1P,1,1P,3PF,4,1P,1P,408
1,2,Sebastian Vettel,1,1P,8P,4P,4,2,1P,5,3,1F,RetP,2,1,4,3,3,6F,4,2,6,2F,320
2,3,Kimi Räikkönen,3,Ret,3,2,Ret,4,6,3,2F,3,3,3,Ret,2P,5,4,5,1,3,3,Ret,251
3,4,Max Verstappen,6,Ret,5,Ret,3,9F,3F,2,1,15,4,Ret,3,5,2,5,3,2,1,2,3,249
4,5,Valtteri Bottas,8,2F,2,14F,2,5,2,7F,RetP,4,2,5,4F,3,4,2PF,2,5,5F,5F,5,247
5,6,Daniel Ricciardo,4F,Ret,1F,Ret,5F,1P,4,4,Ret,5,Ret,4F,Ret,Ret,6,6,4,Ret,RetP,4,4,170
6,7,Nico Hülkenberg,7,6,6,Ret,Ret,8,7,9,Ret,6,5,12,Ret,13,10,12,Ret,6,6,Ret,Ret,69
7,8,Sergio Pérez,11,16,12,3,9,12,14,Ret,7,10,7,14,5,7,16,10,7,8,Ret,10,8,62
8,9,Kevin Magnussen,Ret,5,10,13,6,13,13,6,5,9,11,7,8,16,18F,8,Ret,DSQ,15,9,10,56
9,10,Carlos Sainz Jr.,10,11,9,5,7,10,8,8,12,Ret,12,9,11,8,8,17,10,7,Ret,12,6,53
