,Pos.,Driver,AUS,BHR,CHN,AZE,ESP,MON,CAN,FRA,AUT,GBR,GER,HUN,BEL,ITA,SIN,RUS,JPN,MEX,USA,BRA,ABU,Points
0,1,Lewis Hamilton,2P,1,1,2,1F,1P,1,1P,5,1F,9P,1,2,3F,4,1F,3F,1,2,7,1PF,413
1,2,Valtteri Bottas,1F,2,2P,1P,2P,3,4F,2,3,2P,Ret,8,3,2,5,2,1,3,1P,RetF,4,326
2,3,Max Verstappen,3,4,4,4,3,4,5,4,1F,5,1F,2PF,Ret,8,3,4,Ret,6,3,1P,2,278
3,4,Charles Leclerc,5,3PF,5,5F,5,Ret,3,3,2P,3,Ret,4,1P,1P,2P,3P,6,4PF,4F,18,3,264
4,5,Sebastian Vettel,4,5,3,3,4,2,2P,5F,4,16,2,3,4F,13,1,Ret,2P,2,Ret,17,5,240
5,6,Carlos Sainz Jr.,Ret,19,14,7,8,6,11,6,8,6,5,5,Ret,Ret,12,6,5,13,8,3,10,96
6,7,Pierre Gasly,11,8,6F,Ret,6,5F,8,10,7,4,14,6,9,11,8,14,7,9,16,2,18,95
7,8,Alexander Albon,14,9,10,11,11,8,Ret,15,15,12,6,10,5,6,6,5,4,5,5,14,6,92
8,9,Daniel Ricciardo,Ret,18,7,Ret,12,9,6,11,12,7,Ret,14,14,4,14,Ret,DSQ,8,6,6,11,54
9,10,Sergio Pérez,13,10,8,6,15,12,12,12,11,17,Ret,11,6,7,Ret,7,8,7,10,9,7,52
