,Pos.,Driver,AUT,STY,HUN,GBR,70A,ESP,BEL,ITA,TUS,RUS,EIF,POR,EMI,TUR,BHR,SKH,ABU,Points
0,1,Lewis Hamilton,4,1P,1PF,1P,2F,1P,1P,7PF,1PF,3P,1,1PF,1F,1,1P,-,3,347
1,2,Valtteri Bottas,1P,2,3,11,3P,3F,2,5,2,1F,RetP,2,2P,14,8,8P,2,223
2,3,Max Verstappen,Ret,3,2,2F,1,2,3,Ret,Ret,2,2F,3,Ret,6,2F,Ret,1P,214
3,4,Sergio Pérez,6,6,7,WD,-,5,10,10,5,4,4,7,6,2,18,1,Ret,125
4,5,Daniel Ricciardo,Ret,8,8,4,14,11,4F,6,4,5,3,9,3,10,7,5,7F,119
5,6,Carlos Sainz Jr.,5,9F,9,13,13,6,DNS,2,Ret,Ret,5,6,7,5,5,4,6,105
6,7,Alexander Albon,13,4,5,8,5,8,6,15,3,10,Ret,12,15,7,3,6,4,105
7,8,Charles Leclerc,2,Ret,11,3,4,Ret,14,Ret,8,6,7,4,5,4,10,Ret,13,98
8,9,Lando Norris,3F,5,13,5,9,10,7,4,6,15,Ret,13,8,8F,4,10,5,97
9,10,Pierre Gasly,7,15,Ret,7,11,9,8,1,Ret,9,6,5,Ret,13,6,11,8,75
